shortname,fullname,summary,category_path
make-a-social-media-website,"Build a Social Network from Scratch: JavaScript PHP + MySQL","Learn JavaScript, PHP and MySQL by building the ultimate social network website from scratch! The complete guide!","business"
adobe-photoshop-cc-essentials-training-course,"Adobe Photoshop CC – Essentials Training Course","This Adobe Photoshop Essentials course will teach you Photoshop Retouching as well as Photoshop for graphic design.","design / graphic-design / photoshop"
photoshop-cc-masterclass,"Photoshop CC 2020 MasterClass","Master the World's Best Imaging and Design Application and Become an Adobe Certified Associate.","design / graphic-design / photoshop"
learn-photoshop-web-design-profitable-freelancing,"Learn Photoshop, Web Design & Profitable Freelancing","Learn Photoshop and use it to create amazing website designs and create a high, stable income. No coding needed!","design / graphic-design / photoshop"
adobe-photoshop-cc-advanced-training-course-tutorial,"Adobe Photoshop CC – Advanced Training Course","You'll learn advanced Photoshop techniques like Photoshop retouching & Graphic Design tutorials.","design / graphic-design / photoshop"
adobe-photoshop-course,"Adobe Photoshop CC: Your Complete Beginner to Advanced Class","Learn the essential tools of Adobe Photoshop CC to jump right in and design beautiful graphics and photos in Photoshop.","design / graphic-design / photoshop"
ultimate-photoshop-training-from-beginner-to-pro,"Ultimate Photoshop Training: From Beginner to Pro","Master Photoshop CC 2020 without any previous knowledge with this easy-to-follow course","design / graphic-design / photoshop"
ui-ux-web-design-using-adobe-xd,"User Experience Design Essentials - Adobe XD UI UX Design","Use XD to get a job in UI Design, User Interface, User Experience design, UX design & Web Design","design / user-experience / user-experience-design"
ux-web-design-master-course-strategy-design-development,"UX & Web Design Master Course: Strategy, Design, Development","Learn how to apply User Experience (UX) principles to your website designs, code a variety of sites, and increase sales!","design / user-experience / user-experience-design"
user-experience-design-the-accelerated-ux-course,"User Experience Design: Complete UX Fundamentals Course","Understand User Experience Design ( UX ) to begin designing web and mobile apps to keep your users engaged and happy.","design / user-experience / user-experience-design"
learn-real-world-ux,"Become a UX Designer | Learn the Skills & Get the Job","UX based on real world examples. Gain powerful UX skills you can use to start a UX career or improve your projects.","design / user-experience / user-experience-design"
docker-and-kubernetes-the-complete-guide,"Docker and Kubernetes: The Complete Guide","Build, test, and deploy Docker applications with Kubernetes while learning production-style development workflows","technology / docker"
photography-masterclass-complete-guide-to-photography,"Photography Masterclass: A Complete Guide to Photography","The Best Online Professional Photography Class: How to Take Amazing Photos for Beginners & Advanced Photographers","photography / photography-fundamentals"
"dslr-video-production-online-course-tutorial-training","DSLR Video Production - Start Shooting Better Video Today","Learn how to shoot beautiful video with your DSLR camera. This is the perfect video course for beginners and hobbyists.","photography / dslr"
"adobe-lightroom","Adobe Lightroom Classic CC & CC: Photo Editing Masterclass","Your complete guide to editing beautiful photos in Adobe Lightroom Classic CC and Adobe Lightroom CC, both versions!","photography / photography-tools"
"mobile-photography-masterclass-for-instagram","Mobile Photography Iphone and Android Masterclass","The best Iphone and Android photography class: Phone photography and editing with Snapseed and Lightroom free apps","photography / mobile-photography"
"affinity-photo-beginner-to-pro-via-reference-and-workflow","Affinity Photo: Beginner to Pro via Reference and Workflow","Master Affinity Photo - the tools, the techniques and the methods!","photography / affinity-photography"
emotional-intelligence-and-social-skills-online-course,"Master Your Emotions and Revolutionise Your Social Skills","Build Strong Communication Skills, High-Impact Social Skills, Build Your Social Confidence & Transform Your Self Esteem","personal-development / social-skills"
"master-your-emotions-uncertainty-stress-anxiety-and-fear","Emotional Intelligence: Master Anxiety, Fear, & Emotions","Emotional Intelligence: Techniques for Recognizing, Overcoming, & Coping with Negative Emotions like Anxiety & Fear","personal-development / emotional-intelligence"
"essential-cooking-skills","Essential Cooking Skills","Cook like a pro, master the basic techniques used in the World's culinary industry! Key Techniques - Part 1","lifestyle / food-and-beverage / cooking"
"up-beet-cooking-fundamentals","Healthy Cooking Fundamentals","A practical course to take your cooking skills from dull to delicious","lifestyle / food-and-beverage / cooking"
"cooktour-thai-cooking-masterclass","Interactive Thai Cooking Class","Learn to how cook better than restaurant Thai food as you discover new ingredients and elevate your cooking skills","lifestyle / food-and-beverage / cooking"
